,MaterialNumber,SubstituteMaterialNumber,SubstitutionType
0,000000000000001743,HUDRHO743U,Similar Cross
1,000000000000002900,MCK2900,Direct Cross
2,000000000000002900,VCRVCD5101,Direct Cross
3,000000000000002903,MCK2903,Direct Cross
4,000000000000002904,000000000000004624,Similar Cross
5,000000000000002904,MCK2904,Direct Cross
6,000000000000002907,MCK2907,Direct Cross
7,000000000000002923,MCK2923,Direct Cross
8,000000000000002951,DYNJE4430,Direct Cross
9,000000000000002951,MIK07CA120,Direct Cross
10,000000000000002951,MRS2951,Direct Cross
11,000000000000002952,MIK09MK950,Direct Cross
12,000000000000002955,MCK2955,Direct Cross
13,000000000000002993,MCK2993,Direct Cross
14,000000000000002997,MCK2997,Direct Cross
15,000000000000003464,MCK3464,Similar Cross
16,000000000000003545,MCK3545,Direct Cross
17,000000000000003548,GOM3548,Similar Cross
18,000000000000003548,MCK3548,Direct Cross
19,000000000000003551,MCK3551,Direct Cross
20,000000000000003551,VCRVMD504412,Direct Cross
21,000000000000003553,MCK3553,Direct Cross
22,000000000000003553,QTX300209,Direct Cross
23,000000000000003553,VCRVAE5720,Direct Cross
24,000000000000003591,MCK3591,Direct Cross
25,000000000000003598,MCK3598,Direct Cross
26,000000000000003598,VCRVMD564612,Direct Cross
27,000000000000003652,MCK3652,Direct Cross
28,000000000000003652,MIK09MK960,Direct Cross
29,000000000000003670,GOM3670CS,Direct Cross
30,000000000000003671,MCK3671,Direct Cross
31,000000000000003674,MCK3674,Direct Cross
32,000000000000003677,DYNJE4400XLR,Direct Cross
33,000000000000003677,MCK3677,Direct Cross
34,000000000000003677,MIK07CA108,Direct Cross
35,000000000000003677,MIK07CA118,Direct Cross
36,000000000000003687,MCK3687,Direct Cross
37,000000000000003704,MCK3704,Direct Cross
38,000000000000003715,MCK3715,Direct Cross
39,000000000000003728,MCK3728CS,Direct Cross
40,000000000000003746,MCK3746,Direct Cross
41,000000000000003787,MCK3787,Direct Cross
42,000000000000003816,MCK3816,Direct Cross
43,000000000000003816,PMLSC30,Direct Cross
44,000000000000003817,MCK3817,Direct Cross
45,000000000000003818,LPCCFI756,Direct Cross
46,000000000000003818,MCK3818,Direct Cross
47,000000000000003818,MIK015020,Similar Cross
48,000000000000003818,MIK03KP30,Direct Cross
49,000000000000003818,PMLSC60,Direct Cross
50,000000000000003818,VCRVBB0060,Direct Cross
51,000000000000003823,MCK3823,Direct Cross
52,000000000000003823,MIK03KP40,Direct Cross
53,000000000000003823,PMLSC70,Direct Cross
54,000000000000003868,MCK3868,Direct Cross
55,000000000000003904,MCK3904,Direct Cross
56,000000000000003962,MCK3962,Direct Cross
57,000000000000003981,MRS3981,Direct Cross
58,000000000000003982,DYNJP8102,Direct Cross
59,000000000000003982,MCK3982,Direct Cross
60,000000000000003995,MCK3995,Direct Cross
61,000000000000004514,MCK4514,Similar Cross
62,000000000000004554,3220S,Direct Cross
63,000000000000004554,MCK4554,Direct Cross
64,000000000000004624,000000000000002904,Similar Cross
65,000000000000004647,MCK4647,Direct Cross
66,000000000000004821,DYNJE5200,Direct Cross
67,000000000000004821,MCK4821,Direct Cross
68,000000000000004821,MIK09MK930,Direct Cross
69,000000000000004838,MCK4838,Direct Cross
70,000000000000004840,MCK4840,Direct Cross
71,000000000000004840,MIK09MK3936,Direct Cross
72,000000000000004840,MIK09MK932,Direct Cross
73,000000000000004840,MIK09MK936,Direct Cross
74,000000000000004842,VCRMD304405,Direct Cross
75,000000000000004862,MCK4862,Direct Cross
76,000000000000004862,MIK09MK935,Direct Cross
77,000000000000004862,VCRVMD304480,Direct Cross
78,000000000000004911,MCK4911,Direct Cross
79,000000000000004911,VCRVAE5638,Direct Cross
80,000000000000004921,MCK4921,Direct Cross
81,000000000000004921,VCRVMD302065,Direct Cross
82,000000000000004935,DYNJE4010,Direct Cross
83,000000000000004935,MCK4935,Direct Cross
84,000000000000004935,MIK05CD03,Similar Cross
85,000000000000004938,MCK4938,Direct Cross
86,000000000000004940,MCK4940,Direct Cross
87,000000000000004940,MIK09MK905,Direct Cross
88,000000000000004950,MCK4950,Direct Cross
89,000000000000004950,MDS6306000,Direct Cross
90,000000000000004951,BXT2949519,Direct Cross
91,000000000000004951,DYNJE4400,Direct Cross
92,000000000000004951,LPC5434,Direct Cross
93,000000000000004951,MCK4951,Direct Cross
94,000000000000004951,MCK4951Z,Direct Cross
95,000000000000004951,MEQ495120,Direct Cross
96,000000000000004951,MIK07CA100,Direct Cross
97,000000000000004951,MIK07CA102,Similar Cross
98,000000000000004951,MIK07CA104,Direct Cross
99,000000000000004951,MIK07CA112,Similar Cross
100,000000000000004951,MRS4951,Direct Cross
101,000000000000004951,QTX300201,Direct Cross
102,000000000000004951,SGR10132,Direct Cross
103,000000000000004951,SMY2949519,Direct Cross
104,000000000000004951,VCRVAE5601,Direct Cross
105,000000000000004953,MIKCD05NS,Similar Cross
106,000000000000004954,DYNJE4050,Direct Cross
107,000000000000004954,GOM4954,Direct Cross
108,000000000000004954,MCK4954,Direct Cross
109,000000000000004954,MIK05CD00,Direct Cross
110,000000000000004954,MIK05CD01,Direct Cross
111,000000000000004954,QTX300101CS,Direct Cross
112,000000000000004954,VCRVAE5604,Direct Cross
113,000000000000004955,BXT8720,Direct Cross
114,000000000000004955,DYNJE4000,Direct Cross
115,000000000000004955,MCK4955,Direct Cross
116,000000000000004955,MIK05CD02,Direct Cross
117,000000000000004955,VCRVAE5605,Direct Cross
118,000000000000004961,MCK4961,Direct Cross
119,000000000000004962,MCK4962,Direct Cross
120,000000000000004969,MCK4969,Direct Cross
121,000000000000004973,MCK4973,Direct Cross
122,000000000000004973,VCRVAE5608,Similar Cross
123,000000000000005900,000000000000009900,Direct Cross
124,000000000000005900,CVC612113,Similar Cross
125,000000000000005900,DYNJE4250,Direct Cross
126,000000000000005900,MCK5900,Direct Cross
127,000000000000005900,MIK04CC224,Similar Cross
128,000000000000005900,VCRVCD5103,Direct Cross
129,000000000000005906,MIK05RC0408,Direct Cross
130,000000000000005906,PMLRMC0410WT,Direct Cross
131,000000000000005952,MCK5952,Direct Cross
132,000000000000005952,MIK09MK956,Direct Cross
133,000000000000005960,MCK5960,Direct Cross
134,000000000000005960,VCRVOD5311,Direct Cross
135,000000000000005964,ARM00396210BX,Direct Cross
136,000000000000005964,DYNJSD1012,Direct Cross
137,000000000000005964,MCK5964,Direct Cross
138,000000000000005964,MIK362004,Similar Cross
