ProductCategoryCode,Week4_Sales,MBO_Item_Count,Base_Weekly_Sales,Sales_Variance_Pct
Nutritionals & Feeding/Feeding Tubes/Gastric Sump Tubes                                                                                                                                                                                                        ,4579.0,5,98.75,45.369620253164555
UNKNOWN,11483350.0,81,278331.71428571426,40.25778490413803
Nutritionals & Feeding/Nutritional Supplements/Oral Supplements                                                                                                                                                                                                ,584518.0,21,28964.583333333332,19.180438754225705
OR & Surgery Supplies/Anesthesia Systems & Supplies/General Anesthesia/Endotracheal Tubes                                                                                                                                                                      ,98888.0,30,5370.410256410257,17.41349082818483
Nutritionals & Feeding/Tube Feeding Formulas                                                                                                                                                                                                                   ,329269.0,14,21745.14814814815,14.142182419577631
Wound Care/Wound Closure/Sutures/Suture Accessories                                                                                                                                                                                                            ,1914.0,7,126.57142857142857,14.121896162528216
OR & Surgery Supplies/Sterile Procedure Packs/Dental Packs                                                                                                                                                                                                     ,3000.0,3,200.0,14.0
Nutritionals & Feeding/Feeding Tubes/Accessories/Feeding Syringes                                                                                                                                                                                              ,167877.0,7,11494.785714285714,13.604621971452897
Respiratory/Tracheostomy/Tracheal Airways                                                                                                                                                                                                                      ,1221.0,7,84.73913043478261,13.4089276552078
Needles & Syringes/Syringes/Syringes with Needle                                                                                                                                                                                                               ,3233404.0,13,226529.66666666666,13.273644805904746
Pharmacy/Prescription Drugs/Anesthetics                                                                                                                                                                                                                        ,5985.0,21,423.4074074074074,13.135321903428974
Exam & Diagnostic Supplies/Defibrillation/Pads and Electrodes                                                                                                                                                                                                  ,7331.0,10,529.2413793103449,12.851902528016678
Clinical Lab Supplies/Blood Collection/Blood Collection Sets                                                                                                                                                                                                   ,658897.0,14,48295.642857142855,12.642990568507363
Pharmacy/Prescription Drugs/Corticosteroids                                                                                                                                                                                                                    ,19618.0,21,1453.3870967741937,12.4981245144823
Needles & Syringes/Needles/Hypodermic Needles                                                                                                                                                                                                                  ,971269.0,15,74549.24137931035,12.028556455164093
Surgical Instruments & Sterilization/Sterilization Supplies/Accessories/Accessories                                                                                                                                                                            ,3300.0,3,262.5,11.571428571428571
Wound Care/Bandages/Self-Adherent Bandages                                                                                                                                                                                                                     ,238891.0,13,19815.217391304348,11.055936368623149
Wound Care/Gauze/Impregnated Gauze                                                                                                                                                                                                                             ,48349.0,10,4147.916666666667,10.656212958312405
IV Therapy/IV Catheters                                                                                                                                                                                                                                        ,147493.0,10,13160.652173913044,10.207119377591303
OR & Surgery Supplies/Temperature Management                                                                                                                                                                                                                   ,95090.0,12,8956.695652173914,9.616638511873553
Exam & Diagnostic Supplies/Vital Signs Monitoring/Oximetry/Probes                                                                                                                                                                                              ,227569.0,8,21561.823529411766,9.55425575158709
Exam & Diagnostic Supplies/General Exam Supplies/Applicators & Swabs                                                                                                                                                                                           ,38371.0,10,4076.1666666666665,8.413501247086725
IV Therapy/IV Sets/Primary Sets                                                                                                                                                                                                                                ,710440.0,6,77556.94117647059,8.160237487750935
OR & Surgery Supplies/Masks & Eyewear/Face Masks                                                                                                                                                                                                               ,4379490.0,10,480683.1666666667,8.110970185142744
IV Therapy/IV Sets/Extension Sets                                                                                                                                                                                                                              ,210279.0,12,23137.38888888889,8.088277031164084
Nursing Supplies & Patient Care/Hygiene/Skin Care/Hand Sanitizers                                                                                                                                                                                              ,24039.0,7,2712.8888888888887,7.86103374836173
Urology/Catheters/Foley Catheters                                                                                                                                                                                                                              ,4115.0,18,477.05263157894734,7.625882612533098
Needles & Syringes/Needles/Epidural Needles                                                                                                                                                                                                                    ,670.0,4,79.375,7.440944881889764
Exam & Diagnostic Supplies/Vital Signs Monitoring/Oximetry/Accessories                                                                                                                                                                                         ,31301.0,4,4177.25,6.4932072535759175
"Wound Care/Wound Closure/Sutures/Absorbable, Needled                                                                                                                                                                                                           ",3192.0,8,432.0,6.388888888888889
Wound Care/Dressings/Gel Dressings/Gel                                                                                                                                                                                                                         ,401.0,2,57.0,6.035087719298246
IV Therapy/IV Accessories                                                                                                                                                                                                                                      ,1240132.0,12,183170.0588235294,5.770385989747233
Needles & Syringes/Sharps Containers/Sharps Containers                                                                                                                                                                                                         ,10534.0,5,1566.9166666666667,5.722757006860608
Needles & Syringes/Needles/Huber Needles                                                                                                                                                                                                                       ,59478.0,5,8913.916666666666,5.672487776604
Nursing Supplies & Patient Care/Dialysis                                                                                                                                                                                                                       ,34309.0,6,5249.214285714285,5.536025799779559
"Wound Care/Wound Closure/Sutures/Non-absorbable, Needled                                                                                                                                                                                                       ",5640.0,7,880.8,5.4032697547683926
"Clinical Lab Supplies/Blood Collection/Blood Collection Tubes/Plastic, Non-Gel                                                                                                                                                                                 ",57400.0,3,8995.833333333334,5.38073182028717
Needles & Syringes/Syringes/Syringes without Needle                                                                                                                                                                                                            ,115525.0,2,18493.88888888889,5.246658055213433
Exam & Diagnostic Supplies/Vital Signs Monitoring/EKG/ECG/Electrodes                                                                                                                                                                                           ,3330307.0,8,533302.5625,5.244685914105279
Nursing Supplies & Patient Care/Bedside Care/Specimen Collection/Specimen Containers                                                                                                                                                                           ,6940.0,2,1129.0,5.147032772364924
OR & Surgery Supplies/Anesthesia Systems & Supplies/Diagnostic Trays/Lumbar Puncture Trays                                                                                                                                                                     ,1210.0,7,205.33333333333334,4.892857142857142
Surgical Instruments & Sterilization/Surgical Instruments/Punches/Biopsy Punches                                                                                                                                                                               ,1943.0,4,332.3076923076923,4.846990740740741
Wound Care/Casts/Casting Material                                                                                                                                                                                                                              ,1082.0,4,188.0909090909091,4.752537457709038
Nutritionals & Feeding/Infant Formula & Supplies/Formula                                                                                                                                                                                                       ,133403.0,5,23879.363636363636,4.586539157050782
Respiratory/Suction/Suction Catheters/Open Suction Catheters                                                                                                                                                                                                   ,2644.0,6,475.1,4.565144180172595
