ParentMaterialNumber,SalesWeekNumber,SalesOrderQtyEaches,Base_Sales,Sales_Variance_Pct,CustomerCt,Base_CustomerCt,CustomerCt_Variance_Pct,Sales_Per_Customer,Base_Sales_Per_Customer,OrderSize_Variance_Pct
0003-0293-05,29,2583.0,2440.6666666666665,0.05831739961759089,126.0,123.66666666666667,0.018867924528301848,20.5,19.109540446096897,0.07276258462757029
0003-0293-05,46,1664.0,2440.6666666666665,-0.31821906582900844,98.0,123.66666666666667,-0.2075471698113208,16.979591836734695,19.109540446096897,-0.11145995977089244
0003-0293-05,52,1292.0,2440.6666666666665,-0.470636438131658,59.0,123.66666666666667,-0.522911051212938,21.89830508474576,19.109540446096897,0.14593572495975257
0003-0293-20,34,289.0,395.0,-0.2683544303797468,58.0,70.5,-0.1773049645390071,4.982758620689655,5.609456740442656,-0.11172171366162406
0003-0293-28,34,1102.0,1372.0,-0.1967930029154519,195.0,212.5,-0.08235294117647059,5.651282051282052,6.450081941799176,-0.12384337094085175
0003-0315-20,44,39.0,55.5,-0.2972972972972973,7.0,8.5,-0.17647058823529413,5.571428571428571,6.4326923076923075,-0.13388853299167203
0003-0494-20,35,1556.0,1531.0,0.016329196603527107,215.0,186.0,0.15591397849462366,7.2372093023255815,8.192542213883678,-0.11661006884274824
0054-4179-25,21,2.0,1.5,0.3333333333333333,3.0,1.5,1.0,0.6666666666666666,1.0,-0.33333333333333337
0054-4184-25,20,1400.0,1800.0,-0.2222222222222222,10.0,11.5,-0.13043478260869565,140.0,157.43589743589743,-0.11074918566775241
0054-4184-25,42,1000.0,1800.0,-0.4444444444444444,10.0,11.5,-0.13043478260869565,100.0,157.43589743589743,-0.36482084690553745
0069-0209-10,40,80.0,130.0,-0.38461538461538464,3.0,2.5,0.2,26.666666666666668,36.25,-0.264367816091954
0069-3150-83,19,,,0.0,,,0.0,0.0,0.0,0.0
0093-4145-56,28,60.0,45.0,0.3333333333333333,2.0,1.0,1.0,30.0,45.0,-0.3333333333333333
0093-4148-56,4,30.0,320.0,-0.90625,1.0,8.333333333333334,-0.88,30.0,36.36363636363637,-0.17500000000000007
0143-9128-25,11,25.0,50.0,-0.5,1.0,2.0,-0.5,25.0,12.5,1.0
0143-9161-25,45,,200.0,,,3.0,,0.0,33.333333333333336,-1.0
0143-9252-25,28,100.0,37.5,1.6666666666666667,2.0,1.5,0.3333333333333333,50.0,25.0,1.0
0143-9297-01,38,88.0,6.0,13.666666666666666,4.0,1.0,3.0,22.0,6.0,2.6666666666666665
0143-9316-24,45,,24.0,,,1.0,,0.0,24.0,-1.0
0143-9387-25,38,100.0,175.0,-0.42857142857142855,3.0,3.0,0.0,33.333333333333336,29.166666666666668,0.1428571428571429
0143-9619-01,35,26.0,2.5,9.4,4.0,1.5,1.6666666666666667,6.5,1.75,2.7142857142857144
0143-9660-10,35,10.0,125.0,-0.92,1.0,2.0,-0.5,10.0,108.33333333333333,-0.9076923076923077
0143-9720-24,40,,,0.0,,,0.0,0.0,0.0,0.0
0143-9721-24,39,,24.0,,,1.0,,0.0,12.0,-1.0
0143-9923-90,45,175.0,225.0,-0.2222222222222222,2.0,3.0,-0.3333333333333333,87.5,37.5,1.3333333333333333
0338-0072-25,41,7850.0,10137.5,-0.22564734895191121,198.0,185.0,0.07027027027027027,39.64646464646464,54.70115757146232,-0.27521708119851074
0404-9813-10,12,42.0,15.75,1.6666666666666667,2.0,3.75,-0.4666666666666667,21.0,3.678571428571429,4.708737864077669
0404-9813-10,51,2.0,15.75,-0.873015873015873,1.0,3.75,-0.7333333333333333,2.0,3.678571428571429,-0.4563106796116505
0404-9826-50,12,39.0,20.0,0.95,8.0,4.333333333333333,0.8461538461538463,4.875,3.15625,0.5445544554455446
0404-9826-50,46,5.0,20.0,-0.75,1.0,4.333333333333333,-0.7692307692307692,5.0,3.15625,0.5841584158415841
0404-9857-01,12,42.0,53.0,-0.20754716981132076,19.0,23.0,-0.17391304347826086,2.210526315789474,2.3106060606060606,-0.04331320103537521
0404-9888-20,12,52.0,44.0,0.18181818181818182,15.0,11.5,0.30434782608695654,3.466666666666667,3.840909090909091,-0.09743589743589738
0404-9891-20,25,35.0,13.666666666666666,1.5609756097560978,8.0,6.166666666666667,0.29729729729729726,4.375,2.484126984126984,0.7611821086261981
0404-9891-20,40,12.0,13.666666666666666,-0.12195121951219508,6.0,6.166666666666667,-0.027027027027027074,2.0,2.484126984126984,-0.19488817891373802
0404-9891-20,51,15.0,13.666666666666666,0.09756097560975614,5.0,6.166666666666667,-0.18918918918918923,3.0,2.484126984126984,0.20766773162939295
0404-9895-20,49,181.0,50.5,2.5841584158415842,23.0,12.0,0.9166666666666666,7.869565217391305,4.392857142857142,0.7914457405443622
0404-9896-50,40,2.0,6.0,-0.6666666666666666,2.0,3.0,-0.3333333333333333,1.0,1.6,-0.37500000000000006
0404-9907-10,12,18.0,9.0,1.0,5.0,3.5,0.42857142857142855,3.6,2.5,0.44000000000000006
0404-9931-99,12,25.0,28.5,-0.12280701754385964,5.0,8.0,-0.375,5.0,4.2272727272727275,0.1827956989247311
0404-9958-01,10,43.0,19.5,1.205128205128205,13.0,8.0,0.625,3.3076923076923075,2.4375,0.3570019723865877
0404-9963-02,53,0.0,5.0,-1.0,1.0,1.0,0.0,0.0,5.0,-1.0
0409-0007-10,35,180.0,100.0,0.8,11.0,5.0,1.2,16.363636363636363,20.0,-0.18181818181818182
0409-0186-01,47,,,0.0,,,0.0,0.0,0.0,0.0
0409-1159-10,19,,,0.0,,,0.0,0.0,0.0,0.0
0409-1467-01,47,,,0.0,,,0.0,0.0,0.0,0.0
0409-1630-10,47,30.0,50.0,-0.4,3.0,4.5,-0.3333333333333333,10.0,11.666666666666668,-0.14285714285714293
0409-2016-10,49,10.0,,0.0,1.0,,0.0,10.0,0.0,0.0
0409-3178-03,47,2250.0,1287.5,0.7475728155339806,19.0,28.5,-0.3333333333333333,118.42105263157895,45.138888888888886,1.6234817813765183
0409-3793-25,47,525.0,212.5,1.4705882352941178,12.0,6.5,0.8461538461538461,43.75,32.29166666666667,0.35483870967741915
0409-3796-25,47,1375.0,1075.0,0.27906976744186046,15.0,17.5,-0.14285714285714285,91.66666666666667,61.35620915032679,0.49400798934753687
0409-4011-01,47,10.0,15.0,-0.3333333333333333,2.0,2.0,0.0,5.0,3.75,0.3333333333333333
0409-4276-02,7,3000.0,3562.5,-0.15789473684210525,64.0,65.0,-0.015384615384615385,46.875,54.82022200772201,-0.14493232089798616
0409-5555-01,53,0.0,25.0,-1.0,1.0,1.0,0.0,0.0,12.5,-1.0
0409-6102-26,49,125.0,,0.0,3.0,,0.0,41.666666666666664,0.0,0.0
0409-7248-03,14,60.0,72.0,-0.16666666666666666,5.0,3.5,0.42857142857142855,12.0,19.8,-0.393939393939394
0409-7295-01,19,25.0,,0.0,1.0,,0.0,25.0,0.0,0.0
0409-9158-01,49,,0.0,0.0,,1.0,,0.0,0.0,0.0
0641-0948-35,45,100.0,37.5,1.6666666666666667,1.0,1.5,-0.3333333333333333,100.0,25.0,3.0
0641-1495-35,28,825.0,675.0,0.2222222222222222,26.0,19.0,0.3684210526315789,31.73076923076923,35.83333333333333,-0.11449016100178881
0641-1496-35,39,150.0,162.5,-0.07692307692307693,3.0,5.5,-0.45454545454545453,50.0,29.910714285714285,0.6716417910447762
0641-6007-10,53,60.0,,0.0,1.0,,0.0,60.0,0.0,0.0
0641-6079-01,48,,,0.0,,,0.0,0.0,0.0,0.0
0641-6084-25,28,50.0,112.5,-0.5555555555555556,1.0,1.5,-0.3333333333333333,50.0,62.5,-0.2
0641-6147-10,38,20.0,35.0,-0.42857142857142855,2.0,3.0,-0.3333333333333333,10.0,11.666666666666668,-0.14285714285714293
0641-6196-10,40,,20.0,,,1.0,,0.0,10.0,-1.0
0703-3675-01,28,,1.5,,,1.0,,0.0,1.5,-1.0
0781-3206-85,46,9.0,13.0,-0.3076923076923077,2.0,4.0,-0.5,4.5,3.25,0.38461538461538464
0832-1410-03,23,5.0,9.0,-0.4444444444444444,1.0,1.0,0.0,5.0,9.0,-0.4444444444444444
0904-5853-61,53,1.0,3.0,-0.6666666666666666,1.0,2.0,-0.5,1.0,0.75,0.3333333333333333
23155-833-01,1,1.0,,0.0,1.0,,0.0,1.0,,0.0
25021-052-05,35,,100.0,,,1.0,,0.0,50.0,-1.0
25021-151-20,35,,0.0,0.0,,1.0,,0.0,0.0,0.0
25021-215-99,35,,1.0,,,1.0,,0.0,0.5,-1.0
25021-303-05,47,,10.0,,,1.0,,0.0,5.0,-1.0
25021-481-01,35,,,0.0,,,0.0,0.0,0.0,0.0
25021-651-02,35,20.0,10.0,1.0,1.0,1.0,0.0,20.0,5.0,3.0
42806-312-50,46,6.0,1.0,5.0,4.0,1.0,3.0,1.5,1.0,0.5
43598-0210-40,21,3.0,5.5,-0.45454545454545453,3.0,5.0,-0.4,1.0,1.1,-0.09090909090909098
50242-085-27,6,0.0,1.0,-1.0,1.0,1.0,0.0,0.0,0.5,-1.0
