ProductCategoryCode,Addressable_Revenue,Total_Units_Sold,Conservative_10_Pct,Moderate_25_Pct,Aggressive_50_Pct
Exam & Diagnostic Supplies/Vital Signs Monitoring/Thermometry/Probe Covers                                                                                                                                                                                     ,2068238500.0,41364770.0,206823850.0,517059625.0,1034119250.0
Housekeeping/Paper Products/Paper Towels                                                                                                                                                                                                                       ,1790737500.0,35814750.0,179073750.0,447684375.0,895368750.0
UNKNOWN,834000900.0,16680018.0,83400090.0,208500225.0,417000450.0
OR & Surgery Supplies/Masks & Eyewear/Face Masks                                                                                                                                                                                                               ,793747100.0,15874942.0,79374710.0,198436775.0,396873550.0
Exam & Diagnostic Supplies/Vital Signs Monitoring/EKG/ECG/Electrodes                                                                                                                                                                                           ,764444450.0,15288889.0,76444445.0,191111112.5,382222225.0
Surgical Instruments & Sterilization/Sterilization Supplies/Indicators & Test Packs/Chemical Indicators                                                                                                                                                        ,692115900.0,13842318.0,69211590.0,173028975.0,346057950.0
Needles & Syringes/Syringes/Syringes with Needle                                                                                                                                                                                                               ,627899050.0,12557981.0,62789905.0,156974762.5,313949525.0
Incontinence/Underpads/Disposable                                                                                                                                                                                                                              ,443300000.0,8866000.0,44330000.0,110825000.0,221650000.0
"Clinical Lab Supplies/Blood Collection/Blood Collection Tubes/Plastic, Gel                                                                                                                                                                                     ",244779600.0,4895592.0,24477960.0,61194900.0,122389800.0
Needles & Syringes/Needles/Hypodermic Needles                                                                                                                                                                                                                  ,219396600.0,4387932.0,21939660.0,54849150.0,109698300.0
IV Therapy/IV Accessories                                                                                                                                                                                                                                      ,193013350.0,3860267.0,19301335.0,48253337.5,96506675.0
Surgical Instruments & Sterilization/Sterilization Supplies/Containers & Trays/Accessories                                                                                                                                                                     ,151327600.0,3026552.0,15132760.0,37831900.0,75663800.0
IV Therapy/IV Sets/Primary Sets                                                                                                                                                                                                                                ,128815200.0,2576304.0,12881520.0,32203800.0,64407600.0
Nutritionals & Feeding/Nutritional Supplements/Oral Supplements                                                                                                                                                                                                ,121630650.0,2432613.0,12163065.0,30407662.5,60815325.0
Clinical Lab Supplies/Blood Collection/Blood Collection Sets                                                                                                                                                                                                   ,117972500.0,2359450.0,11797250.0,29493125.0,58986250.0
Office Supplies/Office Supplies/Batteries & Electrical Supplies                                                                                                                                                                                                ,99287900.0,1985758.0,9928790.0,24821975.0,49643950.0
Wound Care/Advanced Wound Care/AWC Skin Protectants                                                                                                                                                                                                            ,80666150.0,1613323.0,8066615.0,20166537.5,40333075.0
Nutritionals & Feeding/Tube Feeding Formulas                                                                                                                                                                                                                   ,66078100.0,1321562.0,6607810.0,16519525.0,33039050.0
OR & Surgery Supplies/OR Basics/Skin Scrub                                                                                                                                                                                                                     ,61184550.0,1223691.0,6118455.0,15296137.5,30592275.0
Wound Care/Bandages/Self-Adherent Bandages                                                                                                                                                                                                                     ,49675850.0,993517.0,4967585.0,12418962.5,24837925.0
IV Therapy/IV Flush Syringes/Heparin                                                                                                                                                                                                                           ,49652300.0,993046.0,4965230.0,12413075.0,24826150.0
Wound Care/Dressings/Non-adherent Dressings                                                                                                                                                                                                                    ,45613100.0,912262.0,4561310.0,11403275.0,22806550.0
Exam & Diagnostic Supplies/Vital Signs Monitoring/Oximetry/Probes                                                                                                                                                                                              ,44118400.0,882368.0,4411840.0,11029600.0,22059200.0
IV Therapy/IV Cannulas                                                                                                                                                                                                                                         ,41468450.0,829369.0,4146845.0,10367112.5,20734225.0
IV Therapy/IV Sets/Extension Sets                                                                                                                                                                                                                              ,38906250.0,778125.0,3890625.0,9726562.5,19453125.0
Exam & Diagnostic Supplies/Vital Signs Monitoring/Blood Pressure/Inflation Systems                                                                                                                                                                             ,36847200.0,736944.0,3684720.0,9211800.0,18423600.0
Wound Care/Dressings/Foam Dressings                                                                                                                                                                                                                            ,36805300.0,736106.0,3680530.0,9201325.0,18402650.0
Nutritionals & Feeding/Feeding Tubes/Accessories/Feeding Syringes                                                                                                                                                                                              ,36537400.0,730748.0,3653740.0,9134350.0,18268700.0
Gloves/Surgical Gloves/Sterile LF Polyisoprene Surgical Gloves                                                                                                                                                                                                 ,30310050.0,606201.0,3031005.0,7577512.5,15155025.0
Nutritionals & Feeding/Infant Formula & Supplies/Formula                                                                                                                                                                                                       ,27689450.0,553789.0,2768945.0,6922362.5,13844725.0
IV Therapy/IV Catheters                                                                                                                                                                                                                                        ,26984050.0,539681.0,2698405.0,6746012.5,13492025.0
Surgical Instruments & Sterilization/Sterilization Supplies/Indicators & Test Packs/Indicator Accessories                                                                                                                                                      ,25064100.0,501282.0,2506410.0,6266025.0,12532050.0
Apparel/Staff Apparel/Gowns/Isolation Gowns                                                                                                                                                                                                                    ,22182550.0,443651.0,2218255.0,5545637.5,11091275.0
Wound Care/Advanced Wound Care/Dressing Retention Tape                                                                                                                                                                                                         ,21672450.0,433449.0,2167245.0,5418112.5,10836225.0
Wound Care/Wound Closure/Closure Strips                                                                                                                                                                                                                        ,21031500.0,420630.0,2103150.0,5257875.0,10515750.0
Housekeeping/Chemicals/Disinfectants/Bleach                                                                                                                                                                                                                    ,20430000.0,408600.0,2043000.0,5107500.0,10215000.0
Exam & Diagnostic Supplies/Diagnostic Imaging/Ultrasound Gel                                                                                                                                                                                                   ,19619250.0,392385.0,1961925.0,4904812.5,9809625.0
Surgical Instruments & Sterilization/Sterilization Supplies/Sterilization Wraps                                                                                                                                                                                ,18158450.0,363169.0,1815845.0,4539612.5,9079225.0
Needles & Syringes/Syringes/Syringes without Needle                                                                                                                                                                                                            ,16970150.0,339403.0,1697015.0,4242537.5,8485075.0
OR & Surgery Supplies/Temperature Management                                                                                                                                                                                                                   ,16684150.0,333683.0,1668415.0,4171037.5,8342075.0
OR & Surgery Supplies/Anesthesia Systems & Supplies/General Anesthesia/Endotracheal Tubes                                                                                                                                                                      ,14643150.0,292863.0,1464315.0,3660787.5,7321575.0
Incontinence/Diapers/Baby & Youth Disposable Diapers                                                                                                                                                                                                           ,13622050.0,272441.0,1362205.0,3405512.5,6811025.0
Housekeeping/Chemicals/Disinfectants/Other                                                                                                                                                                                                                     ,13410000.0,268200.0,1341000.0,3352500.0,6705000.0
Pharmacy/Medication Aids/Medication Delivery                                                                                                                                                                                                                   ,12741600.0,254832.0,1274160.0,3185400.0,6370800.0
Wound Care/Gauze/Impregnated Gauze                                                                                                                                                                                                                             ,12348050.0,246961.0,1234805.0,3087012.5,6174025.0
OR & Surgery Supplies/Surgical Object Detection/X-ray Detectable                                                                                                                                                                                               ,11542000.0,230840.0,1154200.0,2885500.0,5771000.0
IV Therapy/IV Sets/Secondary Sets                                                                                                                                                                                                                              ,11479050.0,229581.0,1147905.0,2869762.5,5739525.0
Nursing Supplies & Patient Care/Infant Care/Pacifiers                                                                                                                                                                                                          ,10641750.0,212835.0,1064175.0,2660437.5,5320875.0
Surgical Instruments & Sterilization/Sterilization Supplies/Indicators & Test Packs/Biological Indicators                                                                                                                                                      ,9418000.0,188360.0,941800.0,2354500.0,4709000.0
"Clinical Lab Supplies/Blood Collection/Blood Collection Tubes/Plastic, Non-Gel                                                                                                                                                                                 ",8932500.0,178650.0,893250.0,2233125.0,4466250.0
Respiratory/Tracheostomy/Solutions                                                                                                                                                                                                                             ,8151800.0,163036.0,815180.0,2037950.0,4075900.0
Clinical Lab Supplies/Blood Collection/Tube Holders                                                                                                                                                                                                            ,7639150.0,152783.0,763915.0,1909787.5,3819575.0
OR & Surgery Supplies/Drapes/Surgical Drapes/Sterile Procedure Drapes/Incise Drapes                                                                                                                                                                            ,7376350.0,147527.0,737635.0,1844087.5,3688175.0
Housekeeping/Storage/Storage Bags                                                                                                                                                                                                                              ,6965000.0,139300.0,696500.0,1741250.0,3482500.0
